log_id,interaction_id,latency_ms,accuracy_score,sentiment,error_type,severity_level,flagged
L-8290,I-8290,411,0.92,Positive,Rate Limit,Medium,No
L-8291,I-8291,381,0.9,Positive,Timeout,Low,No
L-8292,I-8292,752,0.85,Neutral,None,Medium,No
L-8293,I-8293,664,0.98,Negative,Connection Error,Critical,No
L-8294,I-8294,366,0.8,Neutral,Server Error,High,No
L-8295,I-8295,182,0.9,Positive,None,Low,No
L-8296,I-8296,826,0.95,Positive,None,Low,No
L-8297,I-8297,280,0.9,Neutral,None,Critical,No
L-8298,I-8298,857,0.92,Neutral,API Error,High,Yes
L-8299,I-8299,734,0.85,Negative,Connection Error,Low,No
L-8300,I-8300,169,0.92,Neutral,None,High,No
L-8301,I-8301,878,0.8,Positive,Connection Error,Low,No
L-8302,I-8302,469,0.85,Positive,Token Limit Exceeded,High,No
L-8303,I-8303,770,0.85,Positive,Rate Limit,Low,No
L-8304,I-8304,380,0.9,Positive,Validation Error,High,No
L-8305,I-8305,185,0.98,Neutral,Timeout,Medium,No
L-8306,I-8306,92,0.9,Neutral,None,Low,No
L-8307,I-8307,72,0.9,Neutral,Validation Error,Low,No
L-8308,I-8308,677,0.92,Positive,None,Low,No
L-8309,I-8309,296,0.9,Neutral,None,Low,No
L-8310,I-8310,85,0.9,Neutral,Server Error,Low,Yes
L-8311,I-8311,41,0.85,Positive,None,Low,No
L-8312,I-8312,65,0.8,Neutral,Rate Limit,Critical,No
L-8313,I-8313,681,0.8,Neutral,Rate Limit,Low,No
L-8314,I-8314,223,0.92,Negative,Rate Limit,Critical,No
L-8315,I-8315,432,0.85,Neutral,Connection Error,High,No
L-8316,I-8316,583,0.9,Negative,Validation Error,Critical,No
L-8317,I-8317,177,0.8,Neutral,Timeout,Low,No
L-8318,I-8318,166,0.95,Neutral,Token Limit Exceeded,Medium,No
L-8319,I-8319,67,0.92,Neutral,API Error,Medium,No
L-8320,I-8320,165,0.98,Positive,API Error,Low,Yes
L-8321,I-8321,383,0.9,Neutral,None,Critical,No
L-8322,I-8322,56,0.95,Negative,Connection Error,Medium,No
L-8323,I-8323,316,0.98,Positive,None,High,No
L-8324,I-8324,41,0.92,Positive,Token Limit Exceeded,Medium,No
L-8325,I-8325,180,0.8,Negative,Rate Limit,Critical,No
L-8326,I-8326,657,0.92,Positive,Rate Limit,High,No
L-8327,I-8327,365,0.85,Positive,Validation Error,Low,No
L-8328,I-8328,551,0.95,Positive,Rate Limit,Low,No
L-8329,I-8329,168,0.8,Negative,Validation Error,High,No
L-8330,I-8330,92,0.95,Positive,Timeout,High,Yes
L-8331,I-8331,316,0.92,Positive,Validation Error,Medium,No
L-8332,I-8332,297,0.92,Negative,Validation Error,Medium,Yes
L-8333,I-8333,15,0.9,Positive,Connection Error,Medium,No
L-8334,I-8334,321,0.85,Positive,None,High,No
L-8335,I-8335,211,0.9,Positive,None,Medium,No
L-8336,I-8336,75,0.85,Negative,Connection Error,High,No
L-8337,I-8337,851,0.8,Positive,API Error,High,No
L-8338,I-8338,847,0.95,Positive,API Error,Low,No
L-8339,I-8339,903,0.85,Negative,Validation Error,Low,No
L-8340,I-8340,120,0.98,Positive,None,High,No
L-8341,I-8341,148,0.85,Negative,API Error,Low,No
L-8342,I-8342,711,0.92,Negative,None,Medium,No
L-8343,I-8343,502,0.9,Positive,Token Limit Exceeded,Medium,No
L-8344,I-8344,661,0.85,Neutral,None,Low,No
L-8345,I-8345,196,0.8,Neutral,None,Low,No
L-8346,I-8346,201,0.95,Negative,Validation Error,High,Yes
L-8347,I-8347,388,0.9,Negative,None,Medium,No
L-8348,I-8348,660,0.9,Positive,Connection Error,Low,No
L-8349,I-8349,322,0.92,Positive,Token Limit Exceeded,Medium,No
L-8350,I-8350,424,0.9,Neutral,Server Error,High,Yes
L-8351,I-8351,581,0.85,Negative,Validation Error,Low,No
L-8352,I-8352,418,0.92,Neutral,Server Error,Medium,No
L-8353,I-8353,80,0.98,Neutral,None,High,No
L-8354,I-8354,81,0.9,Neutral,Rate Limit,Medium,No
L-8355,I-8355,510,0.8,Positive,None,Medium,No
L-8356,I-8356,247,0.9,Neutral,Connection Error,High,No
L-8357,I-8357,122,0.8,Neutral,API Error,Medium,No
L-8358,I-8358,703,0.92,Positive,API Error,High,No
L-8359,I-8359,262,0.8,Neutral,Rate Limit,High,No
L-8360,I-8360,741,0.9,Positive,Timeout,Critical,No
L-8361,I-8361,579,0.85,Neutral,None,Medium,Yes
L-8362,I-8362,579,0.9,Neutral,Validation Error,Low,No
L-8363,I-8363,203,0.98,Positive,Timeout,Medium,No
L-8364,I-8364,288,0.9,Neutral,None,Low,No
L-8365,I-8365,77,0.85,Positive,None,Low,No
L-8366,I-8366,274,0.85,Positive,None,Low,Yes
L-8367,I-8367,266,0.8,Negative,Rate Limit,High,No
L-8368,I-8368,45,0.92,Positive,API Error,Medium,No
L-8369,I-8369,518,0.85,Positive,Token Limit Exceeded,High,No
L-8370,I-8370,232,0.92,Positive,API Error,High,No
L-8371,I-8371,52,0.95,Positive,None,High,Yes
L-8372,I-8372,935,0.9,Positive,Rate Limit,Critical,No
L-8373,I-8373,35,0.92,Positive,Token Limit Exceeded,Low,No
L-8374,I-8374,59,0.92,Negative,Rate Limit,High,Yes
L-8375,I-8375,849,0.92,Negative,Connection Error,Low,No
L-8376,I-8376,171,0.95,Neutral,Connection Error,Critical,Yes
L-8377,I-8377,431,0.9,Positive,None,Medium,No
L-8378,I-8378,584,0.98,Negative,None,High,No
L-8379,I-8379,376,0.92,Neutral,Connection Error,Medium,No
L-8380,I-8380,559,0.92,Negative,None,High,No
L-8381,I-8381,218,0.8,Positive,Server Error,Low,No
L-8382,I-8382,301,0.9,Neutral,None,Medium,No
L-8383,I-8383,545,0.9,Neutral,None,High,No
L-8384,I-8384,390,0.92,Positive,API Error,Medium,No
L-8385,I-8385,738,0.9,Negative,None,Low,No
L-8386,I-8386,323,0.92,Positive,Validation Error,High,No
L-8387,I-8387,559,0.92,Positive,Timeout,High,No
L-8388,I-8388,56,0.8,Positive,Rate Limit,High,No
L-8389,I-8389,267,0.9,Positive,None,High,No
L-8390,I-8390,166,0.85,Negative,None,Medium,Yes
L-8391,I-8391,868,0.98,Positive,None,Medium,Yes
L-8392,I-8392,612,0.85,Negative,API Error,Low,No
L-8393,I-8393,785,0.8,Neutral,Rate Limit,Medium,No
L-8394,I-8394,257,0.85,Neutral,API Error,Low,No
L-8395,I-8395,577,0.8,Neutral,Timeout,High,No
L-8396,I-8396,885,0.85,Negative,Connection Error,Low,No
L-8397,I-8397,400,0.92,Negative,Server Error,Low,Yes
L-8398,I-8398,209,0.85,Positive,Rate Limit,Low,Yes
L-8399,I-8399,419,0.85,Positive,API Error,Medium,No
L-8400,I-8400,185,0.8,Negative,None,Low,No
L-8401,I-8401,179,0.85,Positive,Timeout,Low,No
L-8402,I-8402,51,0.92,Positive,Connection Error,Critical,No
L-8403,I-8403,51,0.92,Positive,API Error,Medium,No
L-8404,I-8404,79,0.85,Positive,Connection Error,Low,No
L-8405,I-8405,328,0.8,Positive,Timeout,Medium,No
L-8406,I-8406,36,0.8,Positive,Validation Error,Low,No
L-8407,I-8407,473,0.8,Positive,Validation Error,Medium,No
L-8408,I-8408,215,0.92,Neutral,None,Low,Yes
L-8409,I-8409,342,0.9,Neutral,Validation Error,Medium,No
L-8410,I-8410,116,0.85,Neutral,None,Medium,No
L-8411,I-8411,609,0.9,Positive,Token Limit Exceeded,High,Yes
L-8412,I-8412,109,0.92,Negative,Validation Error,Medium,No
L-8413,I-8413,950,0.98,Neutral,Token Limit Exceeded,Low,No
L-8414,I-8414,484,0.95,Negative,Rate Limit,Medium,No
L-8415,I-8415,706,0.9,Neutral,None,Medium,No
L-8416,I-8416,228,0.85,Positive,Token Limit Exceeded,Low,Yes
L-8417,I-8417,573,0.85,Neutral,Server Error,Medium,No
L-8418,I-8418,118,0.8,Positive,Server Error,Critical,No
L-8419,I-8419,581,0.9,Positive,None,Medium,No
L-8420,I-8420,128,0.85,Positive,Validation Error,Critical,No
L-8421,I-8421,355,0.92,Neutral,Validation Error,High,No
L-8422,I-8422,75,0.98,Positive,Token Limit Exceeded,Low,No
L-8423,I-8423,430,0.92,Positive,Timeout,Critical,No
L-8424,I-8424,102,0.8,Positive,None,Critical,No
L-8425,I-8425,121,0.92,Neutral,Validation Error,Critical,No
L-8426,I-8426,295,0.9,Neutral,Timeout,Low,No
L-8427,I-8427,424,0.98,Neutral,Validation Error,Critical,No
L-8428,I-8428,738,0.92,Positive,Validation Error,Medium,Yes
L-8429,I-8429,15,0.92,Positive,Validation Error,Medium,No
L-8430,I-8430,496,0.92,Positive,Connection Error,Medium,No
L-8431,I-8431,505,0.8,Positive,Rate Limit,Medium,No
L-8432,I-8432,675,0.95,Neutral,None,High,No
L-8433,I-8433,354,0.8,Positive,None,Low,No
L-8434,I-8434,203,0.85,Positive,None,High,Yes
L-8435,I-8435,313,0.85,Positive,Token Limit Exceeded,Low,Yes
L-8436,I-8436,633,0.95,Positive,None,High,No
L-8437,I-8437,17,0.95,Neutral,None,Low,No
L-8438,I-8438,343,0.9,Neutral,API Error,Critical,No
L-8439,I-8439,44,0.92,Negative,Token Limit Exceeded,Medium,No
L-8440,I-8440,150,0.95,Positive,None,Medium,No
L-8441,I-8441,321,0.92,Positive,Validation Error,High,No
L-8442,I-8442,244,0.92,Neutral,Validation Error,Critical,No
L-8443,I-8443,507,0.85,Neutral,Server Error,High,Yes
L-8444,I-8444,220,0.92,Neutral,None,Low,No
L-8445,I-8445,242,0.92,Positive,Connection Error,Low,No
L-8446,I-8446,577,0.9,Positive,API Error,High,No
L-8447,I-8447,35,0.9,Neutral,Server Error,Low,No
L-8448,I-8448,296,0.9,Negative,Server Error,Low,No
L-8449,I-8449,151,0.85,Neutral,None,Low,No
L-8450,I-8450,281,0.8,Negative,Server Error,Medium,No
L-8451,I-8451,185,0.98,Negative,Validation Error,High,No
L-8452,I-8452,218,0.92,Positive,Timeout,Low,No
L-8453,I-8453,479,0.85,Neutral,Validation Error,High,No
L-8454,I-8454,382,0.95,Neutral,None,High,No
L-8455,I-8455,480,0.9,Negative,Token Limit Exceeded,High,No
L-8456,I-8456,335,0.8,Neutral,None,Medium,No
L-8457,I-8457,778,0.92,Neutral,Timeout,High,No
L-8458,I-8458,188,0.92,Negative,Server Error,Low,No
L-8459,I-8459,387,0.8,Negative,Token Limit Exceeded,Medium,No
L-8460,I-8460,361,0.9,Neutral,Validation Error,Medium,No
L-8461,I-8461,392,0.85,Positive,Validation Error,Low,No
L-8462,I-8462,766,0.8,Neutral,None,Low,No
L-8463,I-8463,615,0.95,Positive,Connection Error,Medium,No
L-8464,I-8464,144,0.92,Negative,Rate Limit,Critical,No
L-8465,I-8465,210,0.92,Positive,None,High,No
L-8466,I-8466,277,0.92,Neutral,Rate Limit,Low,No
L-8467,I-8467,15,0.8,Positive,Validation Error,Medium,No
L-8468,I-8468,101,0.85,Positive,Token Limit Exceeded,Low,No
L-8469,I-8469,135,0.92,Neutral,None,High,No
L-8470,I-8470,665,0.92,Positive,Connection Error,Critical,No
L-8471,I-8471,19,0.9,Positive,Timeout,Low,No
L-8472,I-8472,486,0.92,Positive,Rate Limit,Low,No
L-8473,I-8473,314,0.8,Positive,None,Low,No
L-8474,I-8474,447,0.92,Positive,None,High,Yes
L-8475,I-8475,452,0.95,Positive,API Error,Low,Yes
L-8476,I-8476,63,0.9,Neutral,None,High,Yes
L-8477,I-8477,559,0.92,Neutral,None,Critical,No
L-8478,I-8478,53,0.9,Positive,Validation Error,High,No
L-8479,I-8479,196,0.8,Positive,None,Medium,No
L-8480,I-8480,545,0.95,Negative,None,Medium,No
L-8481,I-8481,631,0.95,Neutral,None,Medium,No
L-8482,I-8482,94,0.98,Positive,None,High,No
L-8483,I-8483,105,0.8,Positive,API Error,Low,Yes
L-8484,I-8484,284,0.98,Positive,Server Error,High,No
L-8485,I-8485,301,0.9,Positive,Timeout,High,No
L-8486,I-8486,19,0.92,Neutral,None,Low,No
L-8487,I-8487,486,0.92,Neutral,Server Error,Medium,No
L-8488,I-8488,264,0.8,Positive,Validation Error,Medium,Yes
L-8489,I-8489,815,0.98,Positive,Token Limit Exceeded,Low,Yes
L-8490,I-8490,460,0.9,Neutral,Rate Limit,High,No
L-8491,I-8491,698,0.85,Positive,Timeout,High,No
L-8492,I-8492,176,0.8,Positive,None,High,Yes
L-8493,I-8493,510,0.8,Positive,None,High,Yes
L-8494,I-8494,186,0.92,Neutral,None,Medium,No
L-8495,I-8495,231,0.9,Neutral,Timeout,High,No
L-8496,I-8496,260,0.8,Negative,Connection Error,Critical,No
L-8497,I-8497,151,0.85,Positive,Rate Limit,Low,No
L-8498,I-8498,370,0.98,Positive,None,High,No
L-8499,I-8499,756,0.85,Positive,None,Low,No
L-8500,I-8500,56,0.9,Positive,None,Medium,No
L-8501,I-8501,359,0.98,Negative,API Error,Low,No
L-8502,I-8502,21,0.8,Positive,API Error,High,Yes
L-8503,I-8503,89,0.9,Positive,None,Medium,No
L-8504,I-8504,235,0.92,Neutral,Connection Error,High,No
L-8505,I-8505,17,0.9,Negative,Timeout,High,No
L-8506,I-8506,250,0.8,Positive,None,Medium,Yes
L-8507,I-8507,411,0.85,Neutral,Rate Limit,Low,No
L-8508,I-8508,424,0.9,Neutral,Validation Error,High,No
L-8509,I-8509,84,0.98,Negative,None,High,No
L-8510,I-8510,528,0.85,Negative,Timeout,Low,No
L-8511,I-8511,568,0.8,Positive,Token Limit Exceeded,Medium,No
L-8512,I-8512,416,0.95,Negative,Connection Error,Medium,No
L-8513,I-8513,590,0.92,Neutral,Server Error,Low,No
L-8514,I-8514,820,0.85,Positive,Validation Error,Medium,Yes
L-8515,I-8515,35,0.85,Positive,Server Error,Critical,No
L-8516,I-8516,758,0.9,Neutral,Token Limit Exceeded,Medium,No
L-8517,I-8517,501,0.9,Positive,API Error,Low,No
L-8518,I-8518,292,0.92,Positive,Server Error,Low,No
L-8519,I-8519,582,0.8,Positive,Validation Error,Low,No
L-8520,I-8520,521,0.85,Positive,Server Error,Low,Yes
L-8521,I-8521,88,0.92,Positive,Timeout,High,No
L-8522,I-8522,119,0.9,Positive,Connection Error,Low,No
L-8523,I-8523,389,0.92,Negative,None,Medium,No
L-8524,I-8524,436,0.85,Positive,API Error,Critical,Yes
L-8525,I-8525,474,0.98,Neutral,Rate Limit,Medium,No
L-8526,I-8526,51,0.9,Neutral,Validation Error,Critical,No
L-8527,I-8527,169,0.8,Neutral,None,High,No
L-8528,I-8528,145,0.95,Positive,None,Medium,No
L-8529,I-8529,226,0.85,Positive,Server Error,Critical,No
L-8530,I-8530,137,0.8,Neutral,Rate Limit,Low,No
L-8531,I-8531,113,0.85,Neutral,Timeout,Low,Yes
L-8532,I-8532,161,0.8,Positive,Validation Error,Critical,No
L-8533,I-8533,280,0.95,Neutral,None,High,No
L-8534,I-8534,209,0.8,Neutral,None,Low,No
L-8535,I-8535,417,0.92,Neutral,None,Medium,No
L-8536,I-8536,668,0.8,Positive,API Error,Medium,No
L-8537,I-8537,82,0.85,Positive,Rate Limit,Low,No
L-8538,I-8538,532,0.85,Positive,Timeout,Medium,No
L-8539,I-8539,234,0.9,Neutral,Connection Error,High,No
L-8540,I-8540,306,0.8,Positive,None,Low,No
L-8541,I-8541,421,0.98,Negative,Token Limit Exceeded,Low,No
L-8542,I-8542,128,0.9,Neutral,Timeout,Critical,No
L-8543,I-8543,195,0.8,Positive,None,Low,No
L-8544,I-8544,179,0.92,Neutral,Connection Error,Low,Yes
L-8545,I-8545,122,0.85,Neutral,Connection Error,Medium,No
L-8546,I-8546,325,0.9,Positive,Rate Limit,Low,No
L-8547,I-8547,664,0.85,Negative,Token Limit Exceeded,Critical,No
L-8548,I-8548,511,0.92,Neutral,None,Low,No
L-8549,I-8549,547,0.9,Neutral,Timeout,Medium,No
L-8550,I-8550,188,0.85,Positive,Timeout,High,No
L-8551,I-8551,544,0.8,Neutral,Validation Error,Low,No
L-8552,I-8552,148,0.8,Neutral,Token Limit Exceeded,Medium,No
L-8553,I-8553,735,0.98,Negative,None,Critical,No
L-8554,I-8554,388,0.92,Positive,Timeout,Critical,No
L-8555,I-8555,173,0.92,Positive,Token Limit Exceeded,High,No
L-8556,I-8556,18,0.85,Positive,Server Error,Low,No
L-8557,I-8557,217,0.8,Positive,Connection Error,Critical,No
L-8558,I-8558,725,0.92,Positive,None,High,Yes
L-8559,I-8559,533,0.8,Positive,Validation Error,High,No
L-8560,I-8560,450,0.8,Positive,API Error,Medium,No
L-8561,I-8561,670,0.85,Neutral,Timeout,Low,Yes
L-8562,I-8562,370,0.85,Positive,Connection Error,Low,No
L-8563,I-8563,76,0.85,Negative,API Error,Critical,No
L-8564,I-8564,449,0.98,Positive,Connection Error,High,No
L-8565,I-8565,658,0.8,Neutral,Rate Limit,Low,No
L-8566,I-8566,185,0.9,Negative,None,Low,No
L-8567,I-8567,720,0.92,Negative,Token Limit Exceeded,Low,No
L-8568,I-8568,677,0.85,Neutral,Token Limit Exceeded,High,No
L-8569,I-8569,302,0.8,Positive,None,Medium,No
L-8570,I-8570,107,0.8,Positive,Timeout,Low,Yes
L-8571,I-8571,94,0.95,Neutral,None,Medium,No
L-8572,I-8572,112,0.85,Neutral,Timeout,Low,Yes
L-8573,I-8573,90,0.95,Neutral,Validation Error,Low,No
L-8574,I-8574,422,0.98,Negative,Server Error,Low,No
L-8575,I-8575,451,0.92,Positive,API Error,Low,No
L-8576,I-8576,125,0.95,Neutral,Server Error,Low,No
L-8577,I-8577,476,0.85,Positive,Validation Error,Low,No
L-8578,I-8578,756,0.9,Neutral,API Error,Low,No
L-8579,I-8579,397,0.92,Neutral,None,Low,No
L-8580,I-8580,785,0.9,Negative,Rate Limit,Critical,Yes
L-8581,I-8581,855,0.85,Neutral,Validation Error,Critical,Yes
L-8582,I-8582,206,0.92,Neutral,Server Error,Low,No
L-8583,I-8583,190,0.85,Positive,Timeout,High,No
L-8584,I-8584,337,0.92,Neutral,Timeout,Medium,Yes
L-8585,I-8585,423,0.8,Negative,API Error,Medium,No
L-8586,I-8586,130,0.92,Negative,API Error,Medium,No
L-8587,I-8587,179,0.92,Negative,API Error,Low,No
L-8588,I-8588,223,0.8,Positive,Timeout,Low,No
L-8589,I-8589,27,0.95,Negative,Timeout,Medium,No
L-8590,I-8590,677,0.95,Neutral,None,Medium,No
L-8591,I-8591,68,0.85,Neutral,API Error,High,No
L-8592,I-8592,696,0.92,Neutral,None,Low,No
L-8593,I-8593,47,0.9,Neutral,Timeout,High,No
L-8594,I-8594,394,0.98,Positive,None,High,No
L-8595,I-8595,202,0.9,Neutral,None,Low,Yes
L-8596,I-8596,278,0.9,Positive,None,Low,No
L-8597,I-8597,106,0.8,Positive,Rate Limit,Low,Yes
L-8598,I-8598,447,0.95,Neutral,Rate Limit,Low,No
L-8599,I-8599,84,0.98,Positive,None,Low,No
L-8600,I-8600,457,0.85,Negative,None,Low,No
L-8601,I-8601,706,0.92,Positive,None,Low,No
L-8602,I-8602,43,0.92,Positive,Validation Error,Low,No
L-8603,I-8603,69,0.9,Neutral,Validation Error,High,Yes
L-8604,I-8604,264,0.92,Positive,Connection Error,Critical,No
L-8605,I-8605,183,0.9,Positive,Rate Limit,High,No
L-8606,I-8606,136,0.85,Positive,API Error,High,Yes
L-8607,I-8607,171,0.98,Positive,Rate Limit,High,No
L-8608,I-8608,247,0.9,Positive,Timeout,High,No
L-8609,I-8609,733,0.85,Negative,Connection Error,Critical,Yes
L-8610,I-8610,113,0.95,Positive,Server Error,Low,No
L-8611,I-8611,236,0.92,Positive,Validation Error,Medium,Yes
L-8612,I-8612,563,0.9,Positive,Rate Limit,Medium,Yes
L-8613,I-8613,376,0.95,Negative,API Error,Medium,No
L-8614,I-8614,420,0.95,Neutral,None,High,No
L-8615,I-8615,166,0.92,Negative,Rate Limit,Low,No
L-8616,I-8616,413,0.85,Neutral,Validation Error,Low,No
L-8617,I-8617,348,0.8,Neutral,Server Error,Low,No
L-8618,I-8618,343,0.85,Positive,Rate Limit,Medium,No
L-8619,I-8619,137,0.92,Neutral,Server Error,Low,Yes
L-8620,I-8620,486,0.8,Positive,Rate Limit,Low,Yes
L-8621,I-8621,288,0.8,Neutral,Rate Limit,Low,No
L-8622,I-8622,477,0.8,Neutral,API Error,Low,No
L-8623,I-8623,60,0.98,Neutral,Server Error,Low,No
L-8624,I-8624,678,0.85,Negative,API Error,Low,No
L-8625,I-8625,217,0.92,Positive,None,High,No
L-8626,I-8626,556,0.98,Positive,Timeout,Low,No
L-8627,I-8627,385,0.9,Positive,Timeout,Low,No
L-8628,I-8628,651,0.85,Positive,API Error,Low,No
L-8629,I-8629,212,0.8,Negative,None,Low,Yes
L-8630,I-8630,256,0.92,Negative,Validation Error,Medium,Yes
L-8631,I-8631,631,0.9,Neutral,None,Low,No
L-8632,I-8632,45,0.92,Positive,None,High,No
L-8633,I-8633,221,0.8,Neutral,None,Medium,Yes
L-8634,I-8634,411,0.8,Positive,None,Low,No
L-8635,I-8635,388,0.98,Positive,Token Limit Exceeded,High,No
L-8636,I-8636,362,0.95,Positive,Validation Error,High,No
L-8637,I-8637,423,0.85,Positive,Validation Error,Low,No
L-8638,I-8638,531,0.98,Positive,None,Medium,No
L-8639,I-8639,106,0.8,Positive,Connection Error,Medium,No
L-8640,I-8640,315,0.98,Neutral,Server Error,Medium,No
L-8641,I-8641,172,0.8,Neutral,Server Error,Low,Yes
L-8642,I-8642,87,0.92,Neutral,Validation Error,Critical,No
L-8643,I-8643,142,0.8,Neutral,None,Low,No
L-8644,I-8644,205,0.85,Positive,API Error,High,No
L-8645,I-8645,107,0.85,Neutral,Rate Limit,Critical,No
L-8646,I-8646,576,0.98,Positive,Rate Limit,Medium,Yes
L-8647,I-8647,796,0.98,Neutral,Rate Limit,Low,No
L-8648,I-8648,604,0.92,Positive,Token Limit Exceeded,Medium,No
L-8649,I-8649,246,0.98,Negative,Connection Error,Medium,No
L-8650,I-8650,174,0.85,Positive,None,Critical,No
L-8651,I-8651,528,0.92,Neutral,None,Medium,No
L-8652,I-8652,348,0.9,Negative,Connection Error,Medium,Yes
L-8653,I-8653,305,0.92,Neutral,Server Error,High,No
L-8654,I-8654,405,0.85,Negative,Rate Limit,Critical,No
L-8655,I-8655,142,0.9,Positive,None,Medium,Yes
L-8656,I-8656,823,0.85,Positive,Server Error,Critical,No
L-8657,I-8657,199,0.92,Positive,None,Low,No
L-8658,I-8658,142,0.85,Negative,Connection Error,Low,No
L-8659,I-8659,641,0.85,Neutral,None,Low,No
L-8660,I-8660,222,0.9,Positive,Token Limit Exceeded,Medium,Yes
L-8661,I-8661,497,0.98,Negative,Validation Error,Low,No
L-8662,I-8662,335,0.85,Neutral,Timeout,Low,Yes
L-8663,I-8663,514,0.95,Positive,None,High,No
L-8664,I-8664,526,0.9,Neutral,Server Error,High,No
L-8665,I-8665,260,0.98,Neutral,Validation Error,Low,Yes
L-8666,I-8666,503,0.8,Positive,Timeout,High,No
L-8667,I-8667,261,0.85,Positive,Token Limit Exceeded,High,Yes
L-8668,I-8668,284,0.92,Neutral,API Error,High,No
L-8669,I-8669,496,0.92,Neutral,Rate Limit,Medium,No
L-8670,I-8670,403,0.9,Positive,None,Low,No
L-8671,I-8671,417,0.9,Neutral,Timeout,High,No
L-8672,I-8672,366,0.9,Positive,Token Limit Exceeded,Low,No
L-8673,I-8673,607,0.92,Positive,Timeout,Low,No
L-8674,I-8674,265,0.9,Positive,Timeout,Critical,No
L-8675,I-8675,513,0.85,Positive,API Error,Low,No
L-8676,I-8676,712,0.92,Negative,None,High,No
L-8677,I-8677,430,0.9,Neutral,Rate Limit,Low,No
L-8678,I-8678,545,0.9,Positive,Rate Limit,Low,No
L-8679,I-8679,249,0.98,Positive,Rate Limit,Medium,No
L-8680,I-8680,763,0.92,Neutral,Timeout,Low,No
L-8681,I-8681,768,0.95,Positive,Connection Error,Medium,No
L-8682,I-8682,712,0.92,Neutral,None,High,No
L-8683,I-8683,771,0.9,Neutral,None,Medium,No
L-8684,I-8684,117,0.8,Neutral,Server Error,Low,No
L-8685,I-8685,285,0.98,Negative,Timeout,Low,No
L-8686,I-8686,211,0.9,Positive,Rate Limit,High,No
L-8687,I-8687,307,0.98,Neutral,None,Low,No
L-8688,I-8688,351,0.85,Negative,Rate Limit,Low,No
L-8689,I-8689,744,0.92,Negative,Connection Error,High,No
L-8690,I-8690,220,0.9,Neutral,Validation Error,Low,No
L-8691,I-8691,500,0.85,Positive,Rate Limit,Medium,Yes
L-8692,I-8692,552,0.85,Positive,Timeout,Medium,No
L-8693,I-8693,158,0.85,Positive,Validation Error,Low,No
L-8694,I-8694,374,0.9,Negative,Connection Error,Low,No
L-8695,I-8695,540,0.95,Neutral,Timeout,Medium,No
L-8696,I-8696,125,0.9,Neutral,Server Error,High,No
L-8697,I-8697,168,0.85,Neutral,Server Error,Low,No
L-8698,I-8698,312,0.9,Neutral,Server Error,High,No
L-8699,I-8699,706,0.8,Positive,API Error,Critical,No
L-8700,I-8700,360,0.92,Positive,Connection Error,Critical,No
L-8701,I-8701,685,0.9,Neutral,Rate Limit,Low,No
L-8702,I-8702,750,0.9,Positive,None,Low,Yes
L-8703,I-8703,564,0.95,Neutral,Server Error,Low,No
L-8704,I-8704,458,0.85,Positive,API Error,Critical,No
L-8705,I-8705,111,0.9,Positive,None,High,No
L-8706,I-8706,113,0.95,Positive,Connection Error,Medium,No
L-8707,I-8707,303,0.98,Positive,None,Low,No
L-8708,I-8708,240,0.9,Neutral,Timeout,High,Yes
L-8709,I-8709,716,0.8,Positive,None,High,No
L-8710,I-8710,412,0.98,Negative,None,Medium,No
L-8711,I-8711,187,0.8,Positive,Validation Error,Low,No
L-8712,I-8712,715,0.8,Positive,Validation Error,High,No
L-8713,I-8713,671,0.8,Neutral,None,Medium,No
L-8714,I-8714,286,0.85,Positive,None,Medium,No
L-8715,I-8715,833,0.8,Negative,Connection Error,Medium,No
L-8716,I-8716,190,0.9,Positive,None,Medium,No
L-8717,I-8717,6,0.8,Neutral,None,Critical,No
L-8718,I-8718,524,0.8,Negative,API Error,Medium,No
L-8719,I-8719,692,0.95,Negative,API Error,Low,No
L-8720,I-8720,215,0.8,Negative,Rate Limit,Medium,No
L-8721,I-8721,251,0.8,Positive,Validation Error,Low,No
L-8722,I-8722,552,0.85,Positive,Connection Error,Low,No
L-8723,I-8723,335,0.9,Neutral,Timeout,High,No
L-8724,I-8724,499,0.95,Positive,API Error,Low,No
L-8725,I-8725,344,0.9,Positive,API Error,Medium,Yes
L-8726,I-8726,532,0.9,Positive,Token Limit Exceeded,Low,No
L-8727,I-8727,416,0.85,Positive,Token Limit Exceeded,Critical,No
L-8728,I-8728,127,0.98,Positive,Server Error,Low,No
L-8729,I-8729,432,0.8,Negative,Connection Error,Low,Yes
L-8730,I-8730,643,0.9,Neutral,Token Limit Exceeded,High,Yes
L-8731,I-8731,240,0.85,Positive,Timeout,Low,No
L-8732,I-8732,438,0.92,Neutral,None,Low,No
L-8733,I-8733,536,0.92,Neutral,None,High,No
L-8734,I-8734,325,0.9,Positive,Rate Limit,Low,No
L-8735,I-8735,282,0.85,Positive,None,Low,No
L-8736,I-8736,325,0.9,Neutral,Token Limit Exceeded,Critical,Yes
L-8737,I-8737,604,0.9,Negative,Validation Error,Critical,No
L-8738,I-8738,954,0.95,Negative,Token Limit Exceeded,Medium,No
L-8739,I-8739,295,0.92,Positive,Validation Error,Low,No
L-8740,I-8740,85,0.8,Positive,None,High,No
L-8741,I-8741,593,0.98,Neutral,Connection Error,Low,No
L-8742,I-8742,294,0.85,Neutral,Connection Error,Low,No
